category,date,downloads
with_mirrors,2021-01-07,2
with_mirrors,2021-01-08,9
with_mirrors,2021-01-09,11
with_mirrors,2021-01-10,17
with_mirrors,2021-01-11,6
with_mirrors,2021-01-12,5
with_mirrors,2021-01-13,2
with_mirrors,2021-01-14,10
with_mirrors,2021-01-15,10
with_mirrors,2021-01-16,11
with_mirrors,2021-01-17,9
with_mirrors,2021-01-18,7
with_mirrors,2021-01-19,18
with_mirrors,2021-01-20,8
with_mirrors,2021-01-21,6
with_mirrors,2021-01-22,4
with_mirrors,2021-01-25,4
with_mirrors,2021-01-26,9
with_mirrors,2021-01-27,2
with_mirrors,2021-01-28,12
with_mirrors,2021-01-31,9
with_mirrors,2021-02-01,3
with_mirrors,2021-02-02,6
with_mirrors,2021-02-03,10
with_mirrors,2021-02-04,11
with_mirrors,2021-02-05,11
with_mirrors,2021-02-06,14
with_mirrors,2021-02-07,6
with_mirrors,2021-02-08,10
with_mirrors,2021-02-09,5
with_mirrors,2021-02-10,1
with_mirrors,2021-02-11,6
with_mirrors,2021-02-13,13
with_mirrors,2021-02-15,10
with_mirrors,2021-02-16,1
with_mirrors,2021-02-17,5
with_mirrors,2021-02-18,3
with_mirrors,2021-02-19,11
with_mirrors,2021-02-20,2
with_mirrors,2021-02-21,18
with_mirrors,2021-02-22,7
with_mirrors,2021-02-23,4
with_mirrors,2021-02-24,3
with_mirrors,2021-02-25,15
with_mirrors,2021-02-26,5
with_mirrors,2021-02-27,11
with_mirrors,2021-02-28,4
with_mirrors,2021-03-01,9
with_mirrors,2021-03-02,6
with_mirrors,2021-03-03,18
with_mirrors,2021-03-04,5
with_mirrors,2021-03-05,4
with_mirrors,2021-03-06,17
with_mirrors,2021-03-07,15
with_mirrors,2021-03-08,6
with_mirrors,2021-03-09,14
with_mirrors,2021-03-10,7
with_mirrors,2021-03-11,41
with_mirrors,2021-03-12,100
with_mirrors,2021-03-13,36
with_mirrors,2021-03-14,24
with_mirrors,2021-03-15,18
with_mirrors,2021-03-16,46
with_mirrors,2021-03-17,36
with_mirrors,2021-03-18,8
with_mirrors,2021-03-19,42
with_mirrors,2021-03-20,27
with_mirrors,2021-03-21,29
with_mirrors,2021-03-22,8
with_mirrors,2021-03-23,19
with_mirrors,2021-03-24,34
with_mirrors,2021-03-25,17
with_mirrors,2021-03-26,55
with_mirrors,2021-03-27,50
with_mirrors,2021-03-28,15
with_mirrors,2021-03-29,100
with_mirrors,2021-03-30,119
with_mirrors,2021-03-31,41
with_mirrors,2021-04-01,43
with_mirrors,2021-04-02,28
with_mirrors,2021-04-03,31
with_mirrors,2021-04-04,23
with_mirrors,2021-04-05,16
with_mirrors,2021-04-06,31
with_mirrors,2021-04-07,41
with_mirrors,2021-04-08,15
with_mirrors,2021-04-09,22
with_mirrors,2021-04-10,6
with_mirrors,2021-04-11,43
with_mirrors,2021-04-12,18
with_mirrors,2021-04-13,3
with_mirrors,2021-04-14,22
with_mirrors,2021-04-15,15
with_mirrors,2021-04-16,23
with_mirrors,2021-04-17,20
with_mirrors,2021-04-18,9
with_mirrors,2021-04-19,10
with_mirrors,2021-04-20,21
with_mirrors,2021-04-21,33
with_mirrors,2021-04-22,27
with_mirrors,2021-04-23,33
with_mirrors,2021-04-24,24
with_mirrors,2021-04-25,9
with_mirrors,2021-04-26,12
with_mirrors,2021-04-27,25
with_mirrors,2021-04-28,8
with_mirrors,2021-04-29,14
with_mirrors,2021-04-30,14
with_mirrors,2021-05-01,21
with_mirrors,2021-05-02,19
with_mirrors,2021-05-03,33
with_mirrors,2021-05-04,20
with_mirrors,2021-05-05,8
with_mirrors,2021-05-06,32
with_mirrors,2021-05-07,33
with_mirrors,2021-05-08,4
with_mirrors,2021-05-09,21
with_mirrors,2021-05-10,14
with_mirrors,2021-05-11,34
with_mirrors,2021-05-12,22
with_mirrors,2021-05-13,111
with_mirrors,2021-05-14,130
with_mirrors,2021-05-15,79
with_mirrors,2021-05-16,56
with_mirrors,2021-05-17,15
with_mirrors,2021-05-18,16
with_mirrors,2021-05-19,41
with_mirrors,2021-05-20,19
with_mirrors,2021-05-21,6
with_mirrors,2021-05-22,22
with_mirrors,2021-05-23,18
with_mirrors,2021-05-24,36
with_mirrors,2021-05-25,42
with_mirrors,2021-05-26,14
with_mirrors,2021-05-27,26
with_mirrors,2021-05-28,55
with_mirrors,2021-05-29,4
with_mirrors,2021-05-30,5
with_mirrors,2021-05-31,18
with_mirrors,2021-06-01,5
