Date,Version,Path,Views
2026-03-08 00:00:00,latest,/getting_started/origin_purpose.html,1
2026-03-08 00:00:00,latest,/index.html,8
2026-03-08 00:00:00,v2.0.1,/index.html,1
2026-03-08 00:00:00,latest,/user_guide/documentation/variables.html,1
2026-03-09 00:00:00,latest,/_icepyx/icepyx.Query.order_granules.html,1
2026-03-09 00:00:00,latest,/_icepyx/icepyx.Variables.parse_var_list.html,1
2026-03-09 00:00:00,latest,/community/contact.html,1
2026-03-09 00:00:00,latest,/contributing/release_guide.html,1
2026-03-09 00:00:00,latest,/example_notebooks/IS2_cloud_data_access.html,1
2026-03-09 00:00:00,latest,/example_notebooks/IS2_data_access.html,4
2026-03-09 00:00:00,latest,/example_notebooks/IS2_data_read-in.html,3
2026-03-09 00:00:00,latest,/example_notebooks/IS2_data_variables.html,1
2026-03-09 00:00:00,latest,/example_notebooks/IS2_data_visualization.html,1
2026-03-09 00:00:00,latest,/example_notebooks/QUEST_argo_data_access.html,2
2026-03-09 00:00:00,latest,/getting_started/install.html,5
2026-03-09 00:00:00,latest,/index.html,7
2026-03-09 00:00:00,latest,/user_guide/changelog/index.html,2
2026-03-09 00:00:00,latest,/user_guide/changelog/v0.1-alpha.html,1
2026-03-09 00:00:00,latest,/user_guide/changelog/v1.1.0.html,1
2026-03-09 00:00:00,latest,/user_guide/changelog/v1.3.0.html,1
2026-03-09 00:00:00,latest,/user_guide/changelog/v2.0.0.html,2
2026-03-09 00:00:00,latest,/user_guide/documentation/icepyx-quest.html,1
2026-03-09 00:00:00,latest,/user_guide/documentation/icepyx.html,1
2026-03-09 00:00:00,stable,/user_guide/documentation/variables.html,1
2026-03-10 00:00:00,latest,/community/contact.html,2
2026-03-10 00:00:00,latest,/contributing/quest-available-datasets.html,1
2026-03-10 00:00:00,latest,/contributing/release_guide.html,1
2026-03-10 00:00:00,latest,/example_notebooks/IS2_data_access2-subsetting.html,1
2026-03-10 00:00:00,latest,/example_notebooks/IS2_data_read-in.html,2
2026-03-10 00:00:00,latest,/example_notebooks/IS2_data_variables.html,1
2026-03-10 00:00:00,v2.0.1,/example_notebooks/IS2_data_variables.html,1
2026-03-10 00:00:00,latest,/example_notebooks/IS2_data_visualization.html,1
2026-03-10 00:00:00,latest,/getting_started/install.html,2
2026-03-10 00:00:00,latest,/index.html,7
2026-03-11 00:00:00,latest,/contributing/how_to_contribute.html,1
2026-03-11 00:00:00,latest,/example_notebooks/IS2_data_access.html,3
2026-03-11 00:00:00,latest,/example_notebooks/IS2_data_access2-subsetting.html,2
2026-03-11 00:00:00,latest,/example_notebooks/IS2_data_variables.html,1
2026-03-11 00:00:00,latest,/example_notebooks/IS2_data_visualization.html,2
2026-03-11 00:00:00,development,/example_notebooks/QUEST_argo_data_access.html,3
2026-03-11 00:00:00,latest,/example_notebooks/QUEST_argo_data_access.html,3
2026-03-11 00:00:00,latest,/getting_started/install.html,3
2026-03-11 00:00:00,development,/index.html,1
2026-03-11 00:00:00,latest,/index.html,7
2026-03-11 00:00:00,development,/tracking/citations.html,1
2026-03-11 00:00:00,latest,/tracking/citations.html,8
2026-03-11 00:00:00,development,/tracking/downloads.html,5
2026-03-11 00:00:00,latest,/tracking/downloads.html,6
2026-03-11 00:00:00,latest,/user_guide/changelog/index.html,1
2026-03-11 00:00:00,latest,/user_guide/changelog/v1.3.0.html,2
2026-03-11 00:00:00,stable,/user_guide/changelog/v1.3.0.html,1
2026-03-11 00:00:00,latest,/user_guide/changelog/v2.0.1.html,1
2026-03-11 00:00:00,latest,/user_guide/documentation/components.html,2
2026-03-11 00:00:00,latest,/user_guide/documentation/icepyx.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.GenQuery.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Query.CMRparams.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Query.avail_granules.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Query.cycles.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Query.dates.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Query.download_granules.html,2
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Query.end_time.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Query.granules.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Query.html,2
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Query.latest_version.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Query.order_granules.html,3
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Query.order_vars.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Query.product.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Query.product_all_info.html,1
2026-03-12 00:00:00,stable,/_icepyx/icepyx.Query.product_all_info.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Query.product_summary_info.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Query.show_custom_options.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Query.spatial.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Query.temporal.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Query.tracks.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Query.visualize_spatial_extent.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Quest.add_icesat2.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Quest.download_all.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Quest.save_all.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Quest.search_all.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Read.filelist.html,1
2026-03-12 00:00:00,v2.0.1,/_icepyx/icepyx.Read.filelist.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Read.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Read.product.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Variables.append.html,1
2026-03-12 00:00:00,latest,/_icepyx/icepyx.Variables.avail.html,1
